26,"t","Honey: Released May 16, 2019, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
26,"t","Pollination and Other Income – United States: 2016, 2017 and 2018"
26,"t","[Operations that qualify as a farm. Represents incomes from the total number of colonies, regardless of whether honey was harvested. For more estimates on the total number of colonies, see the "Honey Bee Colonies" report]"
26,"h","","","","","","",""
26,"h","United States","Pollination income","Pollination income","Pollination income","Other income 1/","Other income 1/","Other income 1/"
26,"h","","","","","","",""
26,"h","","2016","2017","2018","2016","2017","2018"
26,"h","","","","","","",""
26,"u","","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)"
26,"d","  5 or more colonies",252108,280779,301853,83767,80566,94643
26,"c",""
26,"f","1/ Includes sales of queens, queen cells, beeswax, propolis, etc."
